Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"23627206","1","23627293","","2014-05-13 09:16:54","","18","41429","<p>I'm trying to execute some <code>.sql</code> scripts and then deploy web app using <code>gradle tomcat plugin</code>.</p>

<p>But when I make any attempt to run <code>gradle</code> I've got an error</p>

<p><img src=""https://i.stack.imgur.com/RrJJu.png"" alt=""enter image description here""></p>

<p>My <code>buildscript</code> looks like this</p>

<pre><code>buildscript {
//repository location
repositories {
    mavenCentral()
    jcenter()
}
//dependencies
//did not divide them into runtime&amp;compile
dependencies {
    //aspectJ dependencies
    compile 'org.aspectj:aspectjlib:1.6.2'
    compile 'org.aspectj:aspectjrt:1.7.4'
    compile 'org.aspectj:aspectjweaver:1.7.4'
    //servlet
    compile 'javax.servlet:javax.servlet-api:3.0.1'
    //jdbc postresql
    compile 'org.postgresql:postgresql:9.2-1004-jdbc4'
    //commons dbcp
    compile 'commons-dbcp:commons-dbcp:1.2.2' 
    //spring &amp; spring MVC dependencies
    compile 'org.springframework:spring-core:' + spring_version
    compile 'org.springframework:spring-web:' + spring_version
    compile 'org.springframework:spring-webmvc:' + spring_version
    compile 'org.springframework:spring-jdbc:' + spring_version
    compile 'org.springframework:spring-aspects:' + spring_version
    //spring security
    compile 'org.springframework.security:spring-security-core:' + spring_security_version
    compile 'org.springframework.security:spring-security-web:' + spring_security_version
    compile 'org.springframework.security:spring-security-config:' + spring_security_version
    //JSTL
    compile 'jstl:jstl:1.2'
    //slf4j-log4j
    compile 'org.slf4j:slf4j-api:1.7.0'
    compile 'org.slf4j:slf4j-log4j12:1.7.0'
    compile 'log4j:log4j:1.2.17'
    //mybatis
    compile 'org.mybatis:mybatis:3.2.4'
    compile 'org.mybatis:mybatis-spring:1.2.2'
    //gson
    compile 'com.google.code.gson:gson:2.2.4'
    //validation jsr303
    compile 'javax.validation:validation-api:1.0.0.GA'
    //junit4(test?)
    compile 'junit:junit:4.11'
    //spring test(test?)
    compile 'org.springframework:spring-test:' + spring_version
    //java mail
    compile 'javax.mail:mail:1.4'

    //tomcat plugin
    def tomcatVersion = '7.0.53'
    tomcat ""org.apache.tomcat.embed:tomcat-embed-core:${tomcatVersion}"",
        ""org.apache.tomcat.embed:tomcat-embed-logging-juli:${tomcatVersion}""
    tomcat(""org.apache.tomcat.embed:tomcat-embed-jasper:${tomcatVersion}"") {
        exclude group: 'org.eclipse.jdt.core.compiler', module: 'ecj'
    }

    //additional classpath
    classpath 'org.gradle.api.plugins:gradle-tomcat-plugin:1.2.3'
    classpath 'org.postgresql:postgresql:9.2-1004-jdbc4'
}
}
</code></pre>

<p>In <code>build.gradle</code> there are also several tasks and several <code>apply plugin</code>.</p>

<p>What's the problem? Full stack trace</p>

<p><img src=""https://i.stack.imgur.com/OA0BB.png"" alt=""enter image description here""></p>

<p>My <code>build.gradle</code> is in a project folder.</p>
","1432980","","","","","2018-06-14 11:51:29","could not find method compile() for arguments","<gradle>","2","0","5","","","CC BY-SA 3.0"
"41826639","1","","","2017-01-24 11:07:25","","28","41429","<p>I try to use viewPager with the tablayout but when i set adapter with the view pager i'm getting error ""java.lang.NullPointerException: Attempt to invoke virtual method 'java.lang.Class java.lang.Object.getClass() on a null object reference"" i don't understand why this error is show.</p>

<p>view pager set Adapter:</p>

<pre><code>viewPager= (ViewPager) findViewById(R.id.viewPager_id);
  viewPager.setAdapter(newViewPagerAdapterUseThisClass(getSupportFragmentManager(),14));
</code></pre>

<p>Adapter clss:</p>

<pre><code>class ViewPagerAdapterUseThisClass extends FragmentPagerAdapter {
    int countTabItem;
     ViewPagerAdapterUseThisClass(FragmentManager fm,int contTabItem) {
        super(fm);

        this.countTabItem=contTabItem;
    }

    @Override
    public Fragment getItem(int position) {

        if(position==0){
            EnthusamTab enthusamTab=new EnthusamTab();
            return enthusamTab;
        }

        return null;
    }

    @Override
    public int getCount() {
        return countTabItem;
    }
}
</code></pre>

<p>view pager xml file:</p>

<pre><code> &lt;android.support.v4.view.ViewPager
            android:layout_width=""match_parent""
            android:layout_height=""match_parent""
            android:layout_below=""@id/tab_layout_id""
            android:id=""@+id/viewPager_id""/&gt;
</code></pre>

<p>Error log:</p>

<pre><code>java.lang.NullPointerException: Attempt to invoke virtual method 'java.lang.Class java.lang.Object.getClass()' on a null object reference
                                                                                  at android.support.v4.app.BackStackRecord.doAddOp(BackStackRecord.java:380)
                                                                                  at android.support.v4.app.BackStackRecord.add(BackStackRecord.java:375)
                                                                                  at android.support.v4.app.FragmentPagerAdapter.instantiateItem(FragmentPagerAdapter.java:103)
                                                                                  at android.support.v4.view.ViewPager.addNewItem(ViewPager.java:1034)
                                                                                  at android.support.v4.view.ViewPager.populate(ViewPager.java:1248)
                                                                                  at android.support.v4.view.ViewPager.populate(ViewPager.java:1116)
                                                                                  at android.support.v4.view.ViewPager.onMeasure(ViewPager.java:1642)
                                                                                  at android.view.View.measure(View.java:19861)
                                                                                  at android.widget.RelativeLayout.measureChildHorizontal(RelativeLayout.java:715)
                                                                                  at android.widget.RelativeLayout.onMeasure(RelativeLayout.java:461)
                                                                                  at android.view.View.measure(View.java:19861)
                                                                                  at android.support.v4.widget.DrawerLayout.onMeasure(DrawerLayout.java:1081)
                                                                                  at android.view.View.measure(View.java:19861)
                                                                                  at android.view.ViewGroup.measureChildWithMargins(ViewGroup.java:6083)
                                                                                  at android.widget.FrameLayout.onMeasure(FrameLayout.java:185)
                                                                                  at android.support.v7.widget.ContentFrameLayout.onMeasure(ContentFrameLayout.java:139)
                                                                                  at android.view.View.measure(View.java:19861)
                                                                                  at android.view.ViewGroup.measureChildWithMargins(ViewGroup.java:6083)
                                                                                  at android.widget.LinearLayout.measureChildBeforeLayout(LinearLayout.java:1464)
                                                                                  at android.widget.LinearLayout.measureVertical(LinearLayout.java:758)
                                                                                  at android.widget.LinearLayout.onMeasure(LinearLayout.java:640)
                                                                                  at android.view.View.measure(View.java:19861)
                                                                                  at android.view.ViewGroup.measureChildWithMargins(ViewGroup.java:6083)
                                                                                  at android.widget.FrameLayout.onMeasure(FrameLayout.java:185)
                                                                                  at android.view.View.measure(View.java:19861)
                                                                                  at android.view.ViewGroup.measureChildWithMargins(ViewGroup.java:6083)
                                                                                  at android.widget.LinearLayout.measureChildBeforeLayout(LinearLayout.java:1464)
                                                                                  at android.widget.LinearLayout.measureVertical(LinearLayout.java:758)
                                                                                  at android.widget.LinearLayout.onMeasure(LinearLayout.java:640)
                                                                                  at android.view.View.measure(View.java:19861)
                                                                                  at android.view.ViewGroup.measureChildWithMargins(ViewGroup.java:6083)
                                                                                  at android.widget.FrameLayout.onMeasure(FrameLayout.java:185)
                                                                                  at com.android.internal.policy.DecorView.onMeasure(DecorView.java:689)
                                                                                  at android.view.View.measure(View.java:19861)
                                                                                  at android.view.ViewRootImpl.performMeasure(ViewRootImpl.java:2275)
                                                                                  at android.view.ViewRootImpl.measureHierarchy(ViewRootImpl.java:1366)
                                                                                  at android.view.ViewRootImpl.performTraversals(ViewRootImpl.java:1619)
                                                                                  at android.view.ViewRootImpl.doTraversal(ViewRootImpl.java:1254)
                                                                                  at android.view.ViewRootImpl$TraversalRunnable.run(ViewRootImpl.java:6343)
                                                                                  at android.view.Choreographer$CallbackRecord.run(Choreographer.java:874)
                                                                                  at android.view.Choreographer.doCallbacks(Choreographer.java:686)
                                                                                  at android.view.Choreographer.doFrame(Choreographer.java:621)
                                                                                  at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:860)
                                                                                  at android.os.Handler.handleCallback(Handler.java:751)
                                                                                  at android.os.Handler.dispatchMessage(Handler.java:95)
                                                                                  at android.os.Looper.loop(Looper.java:154)
                                                                                  at android.app.ActivityThread.main(ActivityThread.java:6126)
                                                                                  at java.lang.reflect.Method.invoke(Native Method)
                                                                                  at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:886)
                                                                                  at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:776)
</code></pre>
","6449188","","","","","2019-07-06 08:34:08","java.lang.Class java.lang.Object.getClass()' on a null object reference","<android><xml><nullpointerexception><android-viewpager>","10","3","4","","","CC BY-SA 3.0"
"8723716","1","8729614","","2012-01-04 08:02:24","","33","41429","<p>I can create a project in Gerrit through:</p>

<pre><code>ssh –p 29418 [ip-address] gerrit create-project --name [project-name]
</code></pre>

<p>But, how can I delete any project? I haven't see related commands or buttons on web page.</p>
","1077031","","1469208","","2014-10-14 06:30:02","2019-09-05 23:49:52","Delete a project in Gerrit","<git><gerrit>","6","0","9","","","CC BY-SA 3.0"
"623861","1","624002","","2009-03-08 16:46:26","","37","41429","<p>When I read the xml through a URL's InputStream, and then cut out everything except the url, I get ""<a href=""http://cliveg.bu.edu/people/sganguly/player/%20Rang%20De%20Basanti%20-%20Tu%20Bin%20Bataye.mp3"" rel=""noreferrer"">http://cliveg.bu.edu/people/sganguly/player/%20Rang%20De%20Basanti%20-%20Tu%20Bin%20Bataye.mp3</a>"". </p>

<p>As you can see, there are a lot of ""%20""s.</p>

<p>I want the url to be unescaped.</p>

<p>Is there any way to do this in Java, without using a third-party library?</p>
","75268","penchant","75268","penchant","2009-03-09 23:07:53","2021-01-05 22:07:05","How do you unescape URLs in Java?","<java><url-encoding>","3","3","1","","","CC BY-SA 2.5"
"36188512","1","","","2016-03-23 20:55:34","","21","41429","<p>I have a Jenkins job with 100+ builds. I need to search through all the builds of that job to find builds that have a certain string in the console output. Is there any plugin for that? How do I do that?</p>
","1550159","","172599","","2016-03-23 23:52:12","2021-03-10 12:49:21","Search through console output of a Jenkins job","<jenkins><jenkins-plugins><console-output>","8","0","5","","","CC BY-SA 3.0"
"37751179","1","37751413","","2016-06-10 14:47:44","","42","41429","<p>so jQuery 3.0 was released today, and for some reason the following code no longer works on my site:</p>

<pre><code>$(window).load(function() {});
</code></pre>

<p>Can anyone suggest how I fix this or an alternative that actives when /everything/ is loaded?</p>
","5577674","","4801920","","2016-06-10 14:54:43","2018-04-24 21:35:20","jQuery 3.0 $(window).load(function(){});","<jquery>","1","3","6","","","CC BY-SA 3.0"
"218162","1","218917","","2008-10-20 11:55:06","","27","41429","<p>I have an XHTML strict page that has an invisible div that is controlled by Javascript. The div is set to transparent and visible by the script and a mouseover event to make the div opaque on hover.</p>

<p>When someone using a browser (or firefox with noscript) without javascript the div simply remains invisible. The problem with this is that I do not want the content to be inaccessible. I also do not want to leave the div visible then use the script to make it transparent as the div is located at the bottom of the document and it causes a noticeable flicker whenever a page loads.</p>

<p>I have tried using noscript tags to embed an additional style sheet that is only loaded for people without the luxury of Javascript but this fails the XHTML strict validation. Is there any other way to include extra styling information inside a noscript block that is XHTML valid?</p>

<p><strong>Ed:</strong></p>

<p>With a simple test case I get a validation error of: <strong>document type does not allow element ""style"" here.</strong>
This is with an empty XHTML Strict document with a style element inside a noscript element. The noscript is inside the body.</p>
","11753","","11753","","2008-10-20 12:04:37","2016-08-15 07:02:12","Embedding extra styles with noscript","<css><xhtml>","7","1","10","","","CC BY-SA 2.5"
"43070900","1","43076442","","2017-03-28 13:26:16","","19","41429","<p>I have built a C++ app on a VM Ubuntu 16.04 on which I have installed g++ compiler 6.2.0 in order to support C++14 features. When I tried to run it on new clean VM 16.04 which has default the g++ 5.4.0 the error  <strong>/usr/lib/x86_64-linux-gnu/libstdc++.so.6: version `GLIBCXX_3.4.22' not found</strong> pops up.<br>
I've noticed that on the VM with the updated compiler library libstdc++.so.6.0.22 has been installed. On the clean VM I'd like to avoid to update the compiler so I tried to install only the latest libstdc++6 package. However the library that was installed was libstdc++.so.6.0.21 and so the problem persisted. How can I install specifically the libstdc++.so.6.0.22 version?</p>
","3768183","","","","","2020-07-23 10:59:09","Version `GLIBCXX_3.4.22' not found","<c++><ubuntu-16.04><libstdc++>","2","1","7","","","CC BY-SA 3.0"
"8492009","1","8492033","","2011-12-13 15:46:28","","11","41429","<p>How do you select a datetime column by month?</p>

<pre><code>TABLE A
TITLE   MY_DATETIME   
blah    2011-03-26 05:44:43.213

SELECT * 
FROM TABLE A
WHERE MY_DATETIME = ""August""
</code></pre>
","147915","","184112","","2011-12-13 15:51:37","2020-11-23 09:31:34","MS SQL select a datetime by month?","<sql><sql-server>","4","3","0","","","CC BY-SA 3.0"
"9142356","1","9142375","","2012-02-04 16:24:37","","12","41428","<pre><code>&lt;input type=""text"" /&gt;
</code></pre>

<p>How can I write the number of characters from <code>input</code> on <code>.keyup</code> in JavaScript/jQuery?</p>
","1174737","","","","","2017-07-14 18:04:59","Simple way to count characters using .keyup in jQuery","<javascript><jquery><onkeyup>","2","0","2","","","CC BY-SA 3.0"
